reading_id,device_id,timestamp,temperature,humidity,pm2_5,pm10,validation_status,reading_quality,created_at,updated_at
123e4567-e89b-12d3-a456-426614174000,6c9a9478-c0c1-4a0f-8a17-a69b2cd732a9,2023-03-01 08:00:00,27.5,65.2,12.3,25.7,valid,92,2023-03-01 08:00:00,2023-03-01 08:00:00
223e4567-e89b-12d3-a456-426614174001,6c9a9478-c0c1-4a0f-8a17-a69b2cd732a9,2023-03-01 09:00:00,28.1,63.8,13.5,27.2,valid,90,2023-03-01 09:00:00,2023-03-01 09:00:00
323e4567-e89b-12d3-a456-426614174002,6c9a9478-c0c1-4a0f-8a17-a69b2cd732a9,2023-03-01 10:00:00,29.2,62.1,15.0,30.1,valid,88,2023-03-01 10:00:00,2023-03-01 10:00:00
423e4567-e89b-12d3-a456-426614174003,a8b7c6d5-e4f3-4a2b-9c8d-7e6f5a4b3c2d,2023-03-01 08:00:00,26.8,68.5,10.2,22.5,valid,95,2023-03-01 08:00:00,2023-03-01 08:00:00
523e4567-e89b-12d3-a456-426614174004,a8b7c6d5-e4f3-4a2b-9c8d-7e6f5a4b3c2d,2023-03-01 09:00:00,27.3,67.1,11.8,24.3,valid,93,2023-03-01 09:00:00,2023-03-01 09:00:00
623e4567-e89b-12d3-a456-426614174005,a8b7c6d5-e4f3-4a2b-9c8d-7e6f5a4b3c2d,2023-03-01 10:00:00,28.0,65.8,12.5,26.0,valid,91,2023-03-01 10:00:00,2023-03-01 10:00:00
723e4567-e89b-12d3-a456-426614174006,b2c3d4e5-f6g7-8h9i-j0k1-l2m3n4o5p6q7,2023-03-01 08:00:00,25.9,70.2,9.5,20.1,valid,97,2023-03-01 08:00:00,2023-03-01 08:00:00
823e4567-e89b-12d3-a456-426614174007,b2c3d4e5-f6g7-8h9i-j0k1-l2m3n4o5p6q7,2023-03-01 09:00:00,26.5,68.9,10.8,22.0,valid,94,2023-03-01 09:00:00,2023-03-01 09:00:00
923e4567-e89b-12d3-a456-426614174008,c3d4e5f6-g7h8-i9j0-k1l2-m3n4o5p6q7r8,2023-03-01 08:00:00,28.7,61.5,16.2,32.5,suspicious,75,2023-03-01 08:00:00,2023-03-01 08:00:00
023e4567-e89b-12d3-a456-426614174009,d4e5f6g7-h8i9-j0k1-l2m3-n4o5p6q7r8s9,2023-03-01 08:00:00,27.0,66.8,11.5,23.8,valid,89,2023-03-01 08:00:00,2023-03-01 08:00:00
